1	171
2	268484
3	752796
4	341930
5	460038
6	125100
7	50766
8	30168
9	94987
10	769405
11	305960
12	273356
13	25884
14	23643
15	289382
16	709452
17	173143
18	809317
19	16028
20	415975
21	345849
22	300978
23	124789
24	788304
25	80494
26	812909
27	684647
28	779444
29	327906
30	851973
31	180762
32	87488
33	71099
34	750310
35	742873
36	81324
37	38383
38	824449
39	117931
40	238156
41	329812
42	765306
43	182527
44	542186
45	97423
46	230154
47	529921
48	814446
49	770392
50	103656
51	561555
52	470183
53	623128
54	267651
55	770618
56	753532
57	368475
58	334893
59	588090
60	157727
61	783126
62	157615
63	752028
64	162180
65	734184
66	270848
67	541551
68	593363
69	263922
70	459862
71	789464
72	129717
73	810046
74	72722
75	432641
76	661522
77	522997
78	262518
79	393998
80	418871
81	147170
82	424599
83	33047
84	606769
85	229337
86	850258
87	745089
88	636771
89	528854
90	670130
91	159738
92	10394
93	31658
94	447557
95	494372
96	230807
97	37027
98	142515
99	441288
100	527870
101	567068
102	804018
103	214696
104	391125
105	694691
106	179427
107	563882
108	401003
109	558331
110	307798
111	809584
112	764494
113	251809
114	52850
115	234616
116	180525
117	542525
118	789349
119	473192
120	516169
121	400103
122	495491
123	269196
124	395452
125	63478
126	586394
127	660900
128	339437
129	477785
130	389515
131	247719
132	851439
133	631946
134	844711
135	235263
136	718996
137	832819
138	496722
139	281867
140	84436
141	110742
142	88906
143	292182
144	364088
145	270449
146	751077
147	366747
148	251310
149	275264
150	355699
151	652700
152	599730
153	326456
154	325965
155	714554
156	76229
157	205429
158	14221
159	642274
160	559850
161	64356
162	363596
163	565675
164	62336
165	325587
166	798729
167	16367
168	699764
169	393966
170	495247
171	445836
172	202726
173	222569
174	303433
175	179685
176	331113
177	125952
178	763956
179	802259
180	586344
181	729227
182	32496
183	629613
184	98106
185	763289
186	325250
187	592906
188	350646
189	436196
190	448263
191	815053
192	493627
193	362158
194	702301
195	109397
196	428596
197	656053
198	37120
199	614943
200	558922
201	446521
202	735515
203	227304
204	748401
205	453845
206	640044
207	21013
208	228923
209	489025
210	405732
211	742215
212	103051
213	681616
214	119815
215	222971
216	780786
217	782130
218	254522
219	153978
220	848421
221	27292
222	431795
223	490790
224	85426
225	151749
226	62420
227	608112
228	88656
229	111811
230	780671
231	345126
232	242233
233	229132
234	803551
235	399110
236	151122
237	741632
238	531528
239	609743
240	827555
241	191611
242	5688
243	431379
244	679167
245	57042
246	543463
247	616708
248	512569
249	11780
250	230662
251	36511
252	519385
253	222492
254	419220
255	493243
256	300977
257	679811
258	716306
259	46228
260	650973
261	609434
262	670555
263	328303
264	38325
265	8118
266	549967
267	22834
268	639642
269	534489
270	291813
271	433976
272	193622
273	333150
274	233484
275	740737
276	437750
277	742179
